,usuario,texto,depressao,texto_traduzido
0,lIlIIIlllllIII,"arrombada sem mae querendo cancelar um esquizofrênico

deu de internet por hoje https://t.co/I8SzMHuYV4",1,"broken into without a mother wanting to cancel a schizophrenic

gave internet for today https://t.co/I8SzMHuYV4"
1,rnnpgn,Não tem nada absolutamente mais SEM GRAÇA do que essa galera comentando em perfis esportivos com a foto do Casagrande,0,There is nothing absolutely NO MORE FREE than this crowd commenting on sports profiles with Casagrande's photo
2,KMoraez,Abalada com toda a situação da minha vida,0,Shaken by the whole situation of my life
3,rammassss,aí sempre fico feliz pelas conquistas dos meus amigos sabe.... sério,1,then I am always happy for the achievements of my friends you know .... seriously
4,fuckjxxnny_oh,respirando fundo pra nao socar a cara de ngm,1,taking a deep breath not to punch anyone in the face
5,qualquerdanilo,o que você usa no cabelo? — nada de especial eu troco de shampoo e condicionador toda hora e quando saio passo creme p realçar os cachos https://t.co/wx7paxhlEr,0,what do you wear on your hair - nothing special i change shampoo and conditioner all the time and when i leave step cream p highlight the curls https://t.co/wx7paxhlEr
6,38_rodry,"Se não foi droga que ela usou, deve ter sido uma cachaça daquelas 🤣🤣🤣🤣🤣 Ela deve tá se referindo ao Ditadória ou aos Ditadores do STF... Enquanto isso eu continuo #💯%ComBolsonaro🇧🇷🇧🇷👊 https://t.co/mdGPGK5P6L",0,"If it wasn't a drug she used, it must have been one of those cachaça 🤣🤣🤣🤣🤣 She must be referring to the Dictatorship or the STF Dictators ... In the meantime I continue # #% ComBolsonaro🇧🇷🇧🇷👊 https: / /t.co/mdGPGK5P6L"
7,qualquerdanilo,Hoje não estou triste parabéns eu acabo de ganhar — fico feliz poe vc anon https://t.co/zdhfwfQmCY,0,Today I'm not sad congratulations I just won - I'm happy because you anon https://t.co/zdhfwfQmCY
8,tarjapretaporra,"Amanhã faço exame médico demissional.
Imagina como tá a cabeça.",1,"Tomorrow I have a dismissal medical exam.
Imagine how your head is doing."
9,bs_arth,"hamsuke eu te odeio

PERSONAGEM INSUPORTAVEL",1,"hamsuke i hate you

INSUPERABLE CHARACTER"
10,LaKellytita,Nossa eu queria tanto que esse meu sonho tivesse acontecido mesmo,0,I wish so much that my dream had really happened
11,leonardomikami,"duas coisas são certas:

1- já deu p Luxemburgo 
2- gabriel veron tem MUITA estrela",1,"two things are certain:

1- already p Luxembourg
2- gabriel veron has a LOT of star"
12,MandsLoyy,Não vejo a hora de cortar meu cabelo e acabar essas partes lisa.,0,I can't wait to cut my hair and finish those parts smooth.
13,anapaulaboz,"Primeiro óbito na Feliz, parabéns pra quem ta fazendo jantinha, festinha, se juntando em grupo e etc, tem que bater palma pra vcs 👏👏👏",1,"First death at Feliz, congratulations to those who are having dinner, partying, getting together in groups and etc, you have to clap your hands 👏👏👏"
14,catscorsones,eu so aceflux? eu so grey-a? eu so aceflux? eu so grey-a? eu so aceflux? eu so grey-a? eu so aceflux? eu so grey-a? eu so aceflux? eu so grey-a? eu so aceflux? eu so grey-a? eu so aceflux? eu so grey-a? eu so aceflux? eu so grey-a? eu so aceflux? eu so grey-a? eu so aceflux? eu-,0,am i aceflux? am i gray-a? am i aceflux? i am gray-a? am i aceflux? am i gray-a? am i aceflux? am i gray-a? am i aceflux? am i gray-a? am i aceflux? i am gray-a? am i aceflux? am i gray-a? am i aceflux? am i gray-a? am i aceflux? am i gray-a? am i aceflux? me-
15,marilia1808,o tempo que eu demorei pra entender esse tweet é totalmente humilhante https://t.co/M7s4iN4Kjg,0,the time it took me to understand this tweet is totally humiliating https://t.co/M7s4iN4Kjg
