Sl no,Tweets,Search key,Feeling
1," #1: @fe ed ""RT @MirayaDizon1: Time is ticking fast. Relive the past happy moments while we can. Be the joy to everyone's face. #MaineLovesMAC #ALDUBW…""",happy moments,happy
2," #2: @蓮花 &はすか ed ""RT @ninjaryugo: ＃コナモンの日 だそうで、コナモンさんこと雑渡昆奈門さんのコスプレアクションを再喝＃忍たま ＃落乱https://t.co/Wn24WLfRML""",happy moments,happy
3," #3: @Ris ♡ ed ""Happy birthday to one smokin hot mama 🥵! I love you so much lil. You’re an amazing friend and although we met just this year it feels like I’ve known you forever and I really wish I did. You have been there for me through all my difficult moments this year and I appreciate that,""",happy moments,happy
4," #4: @월월 [씍쯴사랑로봇] jwinnie is the best, cheer up jwinnie ed ""Omg I left for 2 min and 50-100 msgs ajdjsjs I cant save em all but I'm so happy 😆😆🥰 moments like these will be ones I treasure for a long time idk why but it makes me so happy 😭😭😭""",happy moments,happy
5," #5: @Madhurima wth u vc♥ ed ""Good morning dear❤ @VikramChatterje Wishing you a day filled with sunshine,  happiness,  love n pleasant moments!Have lovely day ❤Keep shining Keep smiling always Stay happy 🙂🙂Take care....Love you ❤ https://t.co/8T1OQ9hOSK""",happy moments,happy
6," #6: @Jeinalís Ramos ed ""Happy moments 🙏🏽 https://t.co/pdOSc2YnUU""",happy moments,happy
7," #7: @Eric Rogers ed ""@CaitlinUnruh The movie made me happy in several ways, but i think when you rely on stuff that is purely coincidence to solve story issues, especially BIG moments that the entire film depends on, that’s problematic.""",happy moments,happy
8," #8: @Yanny Sandal ed ""I don’t give two shits about this Met Gala and just want it off my Twitter ‘moments’ page. I’ve seen enough Disney movies—I’m over these costumes AND I could have lived a long, happy life never seeing Harry Styles in a weird night gown ensemble.  So whatever CAMP is, let’s not""",happy moments,happy
9," #9: @daynada ed ""my beautiful barbie bride and i while i fixed her dress moments before she walked down the aisle. i’m so happy this moment was caught on film 👰🏼👰🏼 https://t.co/2EfH1A2Tk4""",happy moments,happy
10," #10: @ß🌪 ed ""Someone Great has been one of the best chick flicks, it had the romance but it hit us with the reality. No matter how great it all is, sometimes shit goes south and you have to be okay with it and move on and be happy for the happy moments y’all shared. Just a beautiful movie😭""",happy moments,happy
11," #11: @[17's Maga] 💎 #JONASBROTHERS ed ""RT @pledis_17jp: ⚡️ ""SEVENTEEN JAPAN 1ST SINGLE「Happy Ending」5/29発売""モーメントを作成しました！https://t.co/4eLksZhlwN""",happy moments,happy
12," #12: @Mj ed ""RT @AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy
13," #13: @Frances Kaye Alvarez ed ""RT @AshTanDefenders: AshTan Moments are the best and makes us happy! Love you two!#PBB8BlackCircle | AshTan https://t.co/uckxrN4wf6""",happy moments,happy
14," #14: @Moonchild Kat’🌔 with luv | 4000%💜 ed ""My le petit prince joonie❤️Thanks @HoneyJoonie94 님 for always capturing the beautiful moments of joon, can always feel your deep love towards joon!!❤️ Always feel warm and happy to see your posts, you’re my favourite fan site!! Support you always❤️ :))) 수고했어요❤️ https://t.co/lo7CJ5rgya""",happy moments,happy
15," #15: @Jaweriaabalochh ed ""@BTS_twt 🤩 we are too happy hobi😍 just enjoy there and make good memorable moments.. have fun🤗🤗""",happy moments,happy
